SCENE,KEY,SENTENCE,SPEAKER,SHOW,Sarcasm,Sarcasm_Type
1_S09E20_029,1_S09E20_029_c_0,Why are you pretending to be outdoors?,LEONARD,BBT,,
1_S09E20_029,1_S09E20_029_c_1,You hate it.,LEONARD,BBT,,
1_S09E20_029,1_S09E20_029_c_2,Hmm? Oh.,SHELDON,BBT,,
1_S09E20_029,1_S09E20_029_c_3,Amy showed me a compelling study,SHELDON,BBT,,
1_S09E20_029,1_S09E20_029_c_4,That demonstrated the cognitive benefit Of spending time in the wilderness.,SHELDON,BBT,,
1_S09E20_029,1_S09E20_029_c_5,"Buddy, I am ready to drive you",LEONARD,BBT,,
1_S09E20_029,1_S09E20_029_c_6,Into the wilderness any time you want and leave you there.,HOWARD,BBT,,
1_S09E20_029,1_S09E20_029_c_7,"Well, make your jokes, but some of the participants",SHELDON,BBT,,
1_S09E20_029,1_S09E20_029_c_8,Who spent four days in the woods away from all technology,SHELDON,BBT,,
1_S09E20_029,1_S09E20_029_c_9,Reported a 50% gain in reasoning skills upon their return.,SHELDON,BBT,,
1_S09E20_029,1_S09E20_029_c_10,"Okay, if that's true, why aren't there more genius squirrels?",PENNY,BBT,,
1_S09E20_029,1_S09E20_029_u,You may need this more than I do.,SHELDON,BBT,1,ILL
1_S09E20_127,1_S09E20_127_c_0,You feel like raj is getting a little carried away With all the baby stuff?,HOWARD,BBT,,
1_S09E20_127,1_S09E20_127_c_1,I don't think so.,BERNADETTE,BBT,,
1_S09E20_127,1_S09E20_127_c_2,He just wants to be part of the experience.,BERNADETTE,BBT,,
1_S09E20_127,1_S09E20_127_c_3,"All right, if you say so.",HOWARD,BBT,,
1_S09E20_127,1_S09E20_127_c_4,What's in the box?,HOWARD,BBT,,
1_S09E20_127,1_S09E20_127_c_5,"Oh, it's an ultrasonic microphone",BERNADETTE,BBT,,
1_S09E20_127,1_S09E20_127_c_6,So we can hear the baby's heartbeat.,BERNADETTE,BBT,,
1_S09E20_127,1_S09E20_127_c_7,Oh. That's cool. Can we try it?,HOWARD,BBT,,
1_S09E20_127,1_S09E20_127_c_8,"Actually, raj ordered it. He made me promise to wait till he was here.",BERNADETTE,BBT,,
1_S09E20_127,1_S09E20_127_c_9,So he can be... Part of the experience?,HOWARD,BBT,,
1_S09E20_127,1_S09E20_127_c_10,Yeah.,BERNADETTE,BBT,,
1_S09E20_127,1_S09E20_127_u,I'm surprised he let us conceive without him.,HOWARD,BBT,1,PRO
1_S09E20_156,1_S09E20_156_c_0,I'm gonna say something to him.,HOWARD,BBT,,
1_S09E20_156,1_S09E20_156_c_1,Leave it alone. He means well.,BERNADETTE,BBT,,
1_S09E20_156,1_S09E20_156_c_2,So you don't think he needs to rein it in a little?,HOWARD,BBT,,
1_S09E20_156,1_S09E20_156_c_3,"No, not really.",BERNADETTE,BBT,,
1_S09E20_156,1_S09E20_156_c_4,And you're not concerned,HOWARD,BBT,,
1_S09E20_156,1_S09E20_156_c_5,"He's acting like somehow this is his kid, too?",HOWARD,BBT,,
1_S09E20_156,1_S09E20_156_c_6,He's just trying to be supportive.,BERNADETTE,BBT,,
1_S09E20_156,1_S09E20_156_c_7,Just supportive. Not over-the-top in any way?,HOWARD,BBT,,
1_S09E20_156,1_S09E20_156_c_8,No.,BERNADETTE,BBT,,
1_S09E20_156,1_S09E20_156_c_9,Koothrappali: Hello!,RAJ,BBT,,
1_S09E20_156,1_S09E20_156_c_10,You saw him carrying that.,BERNADETTE,BBT,,
1_S09E20_156,1_S09E20_156_u,Astronauts saw him carrying that.,HOWARD,BBT,1,ILL
1_S09E20_179,1_S09E20_179_c_0,"Wow, it's really coming down.",AMY,BBT,,
1_S09E20_179,1_S09E20_179_c_1,This sucks.,PENNY,BBT,,
1_S09E20_179,1_S09E20_179_c_2,And there goes our hike.,HOWARD,BBT,,
1_S09E20_179,1_S09E20_179_c_3,"Oh, not our hike!",SHELDON,BBT,,
1_S09E20_179,1_S09E20_179_c_4,Now we have,SHELDON,BBT,,
1_S09E20_179,1_S09E20_179_c_5,To stay safe and warm.,SHELDON,BBT,,
1_S09E20_179,1_S09E20_179_c_6,"You know, we could still go.",PENNY,BBT,,
1_S09E20_179,1_S09E20_179_c_7,A little rain isn't gonna kill us.,PENNY,BBT,,
1_S09E20_179,1_S09E20_179_c_8,Have you been outside in the rain with sheldon?,LEONARD,BBT,,
1_S09E20_179,1_S09E20_179_u,No. You'll wish it would kill you.,LEONARD,BBT,1,PRO
1_S09E20_237,1_S09E20_237_c_0,Calm down. I'll go first.,PENNY,BBT,,
1_S09E20_237,1_S09E20_237_c_1,"All right, let's see.",PENNY,BBT,,
1_S09E20_237,1_S09E20_237_c_2,Never have I ever...,PENNY,BBT,,
1_S09E20_237,1_S09E20_237_u,She's trying to think of something She's never done before. This could take a while.,AMY,BBT,1,ILL
1_S09E20_354,1_S09E20_354_c_0,"Well, how much you got in there?",PENNY,BBT,,
1_S09E20_354,1_S09E20_354_c_1,"$6,427.00",LEONARD,BBT,,
1_S09E20_354,1_S09E20_354_c_2,$47 once my nana's birthday check gets here.,LEONARD,BBT,,
1_S09E20_354,1_S09E20_354_c_3,"My god, leonard, do you know",PENNY,BBT,,
1_S09E20_354,1_S09E20_354_c_4,What I could do with that kind of money?,PENNY,BBT,,
1_S09E20_354,1_S09E20_354_u,"No, I do, and that's why I hid it.",LEONARD,BBT,1,PRO
1_S09E21_024,1_S09E21_024_c_0,"Oh, that's claire. Got to run.",RAJ,BBT,,
1_S09E21_024,1_S09E21_024_c_1,I thought you were back with emily.,LEONARD,BBT,,
1_S09E21_024,1_S09E21_024_c_2,"Uh, actually I'm... Seeing both of them.",RAJ,BBT,,
1_S09E21_024,1_S09E21_024_u,You mean like through their window from behind a bush?,LEONARD,BBT,1,PRO
1_S09E21_255,1_S09E21_255_c_0,So what the hell happened?,HOWARD,BBT,,
1_S09E21_255,1_S09E21_255_c_1,"Oh, I just ran out of patience with sheldon's nonsense.",LEONARD,BBT,,
1_S09E21_255,1_S09E21_255_c_2,"Tell me about it. I've had it with raj, too.",HOWARD,BBT,,
1_S09E21_255,1_S09E21_255_c_3,"You know, like women, men have a monthly hormone cycle.",AMY,BBT,,
1_S09E21_255,1_S09E21_255_c_4,Dips in testosterone can cause irritability.,AMY,BBT,,
1_S09E21_255,1_S09E21_255_u,Interesting. Maybe my male cycle synced up with raj's actual period.,HOWARD,BBT,1,EMB
1_S09E21_401,1_S09E21_401_c_0,"Hey, jon snow!",RAJ,BBT,,
1_S09E21_401,1_S09E21_401_c_1,How come your horse has a basket on it?,RAJ,BBT,,
1_S09E21_401,1_S09E21_401_c_2,How come your head has your face on it?,STUART,BBT,,
1_S09E21_401,1_S09E21_401_c_3,They don't wear bicycle helmets in game of thrones.,SHELDON,BBT,,
1_S09E21_401,1_S09E21_401_c_4,"You're thematically inaccurate,",SHELDON,BBT,,
1_S09E21_401,1_S09E21_401_c_5,But I applaud your commitment to safety.,SHELDON,BBT,,
1_S09E21_401,1_S09E21_401_c_6,Don't you guys have anything better to do?,STUART,BBT,,
1_S09E21_401,1_S09E21_401_u,Better than watching a guy in a fur cloak Ride a girl's bike? Nope.,LEONARD,BBT,1,PRO
1_S09E22_015,1_S09E22_015_c_0,"All right, well, let me know if you guys want to go.",PENNY,BBT,,
1_S09E22_015,1_S09E22_015_c_1,I would love to.,RAJ,BBT,,
1_S09E22_015,1_S09E22_015_c_2,I do enjoy the complexity of an aged Pinot noir.,RAJ,BBT,,
1_S09E22_015,1_S09E22_015_u,I'm sure that would pair nicely with your fried nuggets of chicken.,LEONARD,BBT,1,ILL
1_S09E22_075,1_S09E22_075_c_0,"Hey, you think it'd be okay",RAJ,BBT,,
1_S09E22_075,1_S09E22_075_c_1,if I brought Claire to the wine tasting?,RAJ,BBT,,
1_S09E22_075,1_S09E22_075_c_2,"Sure. I'd like to meet her. Oh, that's great.",LEONARD,BBT,,
1_S09E22_075,1_S09E22_075_c_3,"I've been wanting her to meet you guys, too,",LEONARD,BBT,,
1_S09E22_075,1_S09E22_075_c_4,so this seems like the perfect opportunity.,LEONARD,BBT,,
1_S09E22_075,1_S09E22_075_c_5,"Oh, but I won't be there.",SHELDON,BBT,,
1_S09E22_075,1_S09E22_075_u,Funny how that worked out.,RAJ,BBT,1,PRO
1_S09E23_017,1_S09E23_017_c_0,"that's a Venn Diagram, and I remember because",PENNY,BBT,,
1_S09E23_017,1_S09E23_017_u,"I thought to myself, ""Venn is he gonna stop talking about this diagram?""",PENNY,BBT,1,PRO
1_S09E23_102,1_S09E23_102_c_0,I'm not surprised Leonard chose to avoid picking me up.,OTHER,BBT,,
1_S09E23_102,1_S09E23_102_c_1,He's battled intimacy issues his whole life.,OTHER,BBT,,
1_S09E23_102,1_S09E23_102_c_2,Does he have difficulty maintaining erections?,OTHER,BBT,,
1_S09E23_102,1_S09E23_102_u,Wow. (clears throat) Didn't even make it out of the parking lot.,PENNY,BBT,1,PRO
1_S09E23_270,1_S09E23_270_c_0,You look like you come with a kickstand.,HOWARD,BBT,,
1_S09E23_270,1_S09E23_270_c_1,You can't make me feel bad.,RAJ,BBT,,
1_S09E23_270,1_S09E23_270_c_2,"Hmm, maybe not. Leonard?",HOWARD,BBT,,
1_S09E23_270,1_S09E23_270_u,"So, when the aliens brought you back, they just left the probe in?",LEONARD,BBT,1,ILL
1_S09E23_420,1_S09E23_420_c_0,"To be honest, I'm surprised you cared about the wedding at all.",PENNY,BBT,,
1_S09E23_420,1_S09E23_420_c_1,"I'm still human, Penny.",OTHER,BBT,,
1_S09E23_420,1_S09E23_420_c_2,Not getting invited to my own son's wedding is difficult to ignore.,OTHER,BBT,,
1_S09E23_420,1_S09E23_420_c_3,I know how you feel.,AMY,BBT,,
1_S09E23_420,1_S09E23_420_c_4,She didn't invite any of us.,AMY,BBT,,
1_S09E23_420,1_S09E23_420_c_5,It was spur of the moment!,PENNY,BBT,,
1_S09E23_420,1_S09E23_420_c_6,But we did get to see a live stream of it on the Internet.,BERNADETTE,BBT,,
1_S09E23_420,1_S09E23_420_c_7,I could've watched it on the Internet?,OTHER,BBT,,
1_S09E23_420,1_S09E23_420_u,Thank you.,PENNY,BBT,1,ILL
1_S09E24_014,1_S09E24_014_c_0,How'd it go with my mother?,LEONARD,BBT,,
1_S09E24_014,1_S09E24_014_c_1,"Uh, you know, it started a little rocky,",PENNY,BBT,,
1_S09E24_014,1_S09E24_014_c_2,but I think we got to a good place.,PENNY,BBT,,
1_S09E24_014,1_S09E24_014_c_3,Wow.,LEONARD,BBT,,
1_S09E24_014,1_S09E24_014_c_4,Well done. (chuckles),LEONARD,BBT,,
1_S09E24_014,1_S09E24_014_c_5,"Yeah, and when I dropped her off at the hotel, she even gave me a hug.",PENNY,BBT,,
1_S09E24_014,1_S09E24_014_u,Did she think you were choking or...,LEONARD,BBT,1,PRO
1_S09E24_152,1_S09E24_152_c_0,It was so nice of Leonard and Penny to invite me.,OTHER,BBT,,
1_S09E24_152,1_S09E24_152_c_1,"Well, actually, I... It sure was.",AMY,BBT,,
1_S09E24_152,1_S09E24_152_c_2,I've always had a special place in my heart for Leonard.,LEONARD,BBT,,
1_S09E24_152,1_S09E24_152_c_3,Taking care of my baby all these years.,LEONARD,BBT,,
1_S09E24_152,1_S09E24_152_c_4,"Excuse me, I take care of him.",SHELDON,BBT,,
1_S09E24_152,1_S09E24_152_u,Sure you do.,OTHER,BBT,1,ILL
1_S10E01_075,1_S10E01_075_c_0,"When Beverly gets here, do not bring up last night.",PENNY,BBT,,
1_S10E01_075,1_S10E01_075_c_1,"All right? As far as you're concerned, you didn't see anything.",PENNY,BBT,,
1_S10E01_075,1_S10E01_075_c_3,I want you just to play dumb.,PENNY,BBT,,
1_S10E01_075,1_S10E01_075_u,It was nice of her to show us playing dumb with an example.,SHELDON,BBT,1,ILL
1_S10E01_197,1_S10E01_197_c_0,"Here you are, Mother.",LEONARD,BBT,,
1_S10E01_197,1_S10E01_197_c_1,Thank you.,OTHER,BBT,,
1_S10E01_197,1_S10E01_197_c_2,I'm glad you decided to stay.,LEONARD,BBT,,
1_S10E01_197,1_S10E01_197_c_3,It's gonna be special for Penny and me to share this with you.,LEONARD,BBT,,
1_S10E01_197,1_S10E01_197_c_4,I can't wait for this day to be over.,OTHER,BBT,,
1_S10E01_197,1_S10E01_197_u,"Yeah, special, like that.",LEONARD,BBT,1,ILL
1_S10E01_225,1_S10E01_225_c_0,"All right, you guys, uh, get settled in,",PENNY,BBT,,
1_S10E01_225,1_S10E01_225_c_1,then we'll go across the hall and say hi to everyone.,PENNY,BBT,,
1_S10E01_225,1_S10E01_225_c_2,"You know, It's hard to believe I've never met Leonard.",OTHER,BBT,,
1_S10E01_225,1_S10E01_225_u,"Well, he probably buys his illegal drugs from a local vendor.",OTHER,BBT,1,PRO
1_S10E01_381,1_S10E01_381_c_0,Why do people cry at weddings?,SHELDON,BBT,,
1_S10E01_381,1_S10E01_381_u,They're practicing for what's coming later.,OTHER,BBT,1,PRO
1_S10E01_474,1_S10E01_474_c_0,Your friends are just lovely.,OTHER,BBT,,
1_S10E01_474,1_S10E01_474_c_1,"Oh, thanks, Mom.",PENNY,BBT,,
1_S10E01_474,1_S10E01_474_c_2,Although that Sheldon is a bit peculiar.,OTHER,BBT,,
1_S10E01_474,1_S10E01_474_u,Is he? I never noticed.,PENNY,BBT,1,ILL
1_S10E02_101,1_S10E02_101_c_0,"You know, maybe before our meeting",HOWARD,BBT,,
1_S10E02_101,1_S10E02_101_c_1,we should talk to a lawyer.,HOWARD,BBT,,
1_S10E02_101,1_S10E02_101_c_2,That's not a bad idea.,LEONARD,BBT,,
1_S10E02_101,1_S10E02_101_c_3,"Well, you must have someone in your family that's a lawyer.",RAJ,BBT,,
1_S10E02_101,1_S10E02_101_u,"Why? Because I'm Jewish? That's like me saying, ""Hey, you're Indian. Doesn't your cousin work in a call center?""",HOWARD,BBT,1,ILL
1_S10E02_123,1_S10E02_123_c_0,How did you think you were gonna hide your pregnancy?,-,BBT,,
1_S10E02_123,1_S10E02_123_c_1,I had a plan-- I kept leaving Dove Bar wrappers around,-,BBT,,
1_S10E02_123,1_S10E02_123_c_2,to explain any weight gain.,-,BBT,,
1_S10E02_123,1_S10E02_123_c_3,Where did you get empty Dove Bar wrappers?,-,BBT,,
1_S10E02_123,1_S10E02_123_c_4,From all the Dove Bars I ate! I'm pregnant!,-,BBT,,
1_S10E02_123,1_S10E02_123_c_5,Try to keep up!,-,BBT,,
1_S10E02_123,1_S10E02_123_c_6,I'm sorry. I-I have to go find out,-,BBT,,
1_S10E02_123,1_S10E02_123_c_7,"if my boss knows. Well,",-,BBT,,
1_S10E02_123,1_S10E02_123_c_8,"whatever happens, we're here for you. Thanks.",-,BBT,,
1_S10E02_123,1_S10E02_123_c_9,"You guys are the best. Yeah, drive safe. We love you. And give us a call...",-,BBT,,
1_S10E02_123,1_S10E02_123_u,"Oh, my God, it was me, it was me! I'm the one who blabbed she was pregnant!",PENNY,BBT,0,NONE
1_S10E02_327,1_S10E02_327_c_0,Hi. Hello.,-,BBT,,
1_S10E02_327,1_S10E02_327_c_1,What are you doing?,-,BBT,,
1_S10E02_327,1_S10E02_327_c_2,"Oh, Leonard's mad at me, so I'm making him lemon bars.",-,BBT,,
1_S10E02_327,1_S10E02_327_c_3,Does he even like lemon bars?,-,BBT,,
1_S10E02_327,1_S10E02_327_c_4,Not really.,-,BBT,,
1_S10E02_327,1_S10E02_327_u,"But I'm mad at him, too, so lemon bars it is.",SHELDON,BBT,0,NONE
1_S10E02_372,1_S10E02_372_c_0,So I guess I won't be seeing you guys for a while.,-,BBT,,
1_S10E02_372,1_S10E02_372_c_1,"Oh, looks like it. Wow.",-,BBT,,
1_S10E02_372,1_S10E02_372_c_2,"You're going off to work with the military, leaving me behind.",-,BBT,,
1_S10E02_372,1_S10E02_372_c_3,Now I know how all those army wives feel.,-,BBT,,
1_S10E02_372,1_S10E02_372_u,Would you stop? We're just gonna be on the other side of campus.,HOWARD,BBT,0,NONE
1_S10E03_144,1_S10E03_144_c_0,I don't even know where to begin.,BERNADETTE,BBT,,
1_S10E03_144,1_S10E03_144_c_1,"Well, in The Sound of Music, Julie Andrews says,",RAJ,BBT,,
1_S10E03_144,1_S10E03_144_c_2,"""Let's start at the very beginning. A very good place to start.""",RAJ,BBT,,
1_S10E03_144,1_S10E03_144_u,"Oh, I was gonna start at the end. Thank God you're here.",BERNADETTE,BBT,1,ILL
1_S10E03_154,1_S10E03_154_c_0,"Oh, that's a nice one.",-,BBT,,
1_S10E03_154,1_S10E03_154_c_1,Was it yours when you were little?,-,BBT,,
1_S10E03_154,1_S10E03_154_c_2,My dad built it for me.,-,BBT,,
1_S10E03_154,1_S10E03_154_c_3,"Wow, it's so cute.",-,BBT,,
1_S10E03_154,1_S10E03_154_u,"This was the husband and this was the wife. They'd go out on adventures together. Cruises, skiing, horseback riding. That was really me just duct taping them to our dog.",BERNADETTE,BBT,0,NONE
1_S10E03_177,1_S10E03_177_c_0,Why is it taking him so long,-,BBT,,
1_S10E03_177,1_S10E03_177_c_1,to get a drink out of a vending machine?,-,BBT,,
1_S10E03_177,1_S10E03_177_c_2,"Oh, it's complicated.",-,BBT,,
1_S10E03_177,1_S10E03_177_c_3,He finds pushing that little door,-,BBT,,
1_S10E03_177,1_S10E03_177_c_4,and reaching up into the machine uncomfortably intimate.,-,BBT,,
1_S10E03_177,1_S10E03_177_c_5,(door opens),-,BBT,,
1_S10E03_177,1_S10E03_177_u,"Gentlemen, I am ready to work. To quote The Martian, ""Let's science the feces out of this!"" That's The Martian the book and The Martian the movie, not Marvin the Martian.",SHELDON,BBT,0,NONE
1_S10E03_224,1_S10E03_224_c_0,Maybe we should break for lunch.,-,BBT,,
1_S10E03_224,1_S10E03_224_c_1,What time is it?,-,BBT,,
1_S10E03_224,1_S10E03_224_c_2,(moans twice),-,BBT,,
1_S10E03_224,1_S10E03_224_c_3,"According to the world's worst cuckoo clock, it's 2:00.",-,BBT,,
1_S10E03_224,1_S10E03_224_u,My head hurts and I'm more tired than ever.,SHELDON,BBT,0,NONE
1_S10E03_260,1_S10E03_260_c_0,Sorry I flipped out on you.,-,BBT,,
1_S10E03_260,1_S10E03_260_c_1,I think it's just hormones.,-,BBT,,
1_S10E03_260,1_S10E03_260_u,"I think you were mean before you were pregnant, but it's fine.",RAJ,BBT,0,NONE
1_S10E03_282,1_S10E03_282_c_0,I don't care what color the room is.,-,BBT,,
1_S10E03_282,1_S10E03_282_c_1,"Okay, well, I'm just trying to help you.",-,BBT,,
1_S10E03_282,1_S10E03_282_c_2,"Well, you're not, so just drop it!",-,BBT,,
1_S10E03_282,1_S10E03_282_c_3,I'm clearly upset. Why aren't you following me?,-,BBT,,
1_S10E03_282,1_S10E03_282_u,Sorry! Sorry!,RAJ,BBT,0,NONE
1_S10E03_311,1_S10E03_311_c_0,"Uh, you're really going to have caffeine in front of me",-,BBT,,
1_S10E03_311,1_S10E03_311_c_1,when I'm trying to get my life back on track?,-,BBT,,
1_S10E03_311,1_S10E03_311_c_2,"Uh, okay, let's pretend you do have a problem.",-,BBT,,
1_S10E03_311,1_S10E03_311_c_3,I do. You don't.,-,BBT,,
1_S10E03_311,1_S10E03_311_c_4,"Yeah, but I do. No, you don't!",-,BBT,,
1_S10E03_311,1_S10E03_311_u,"But let's say you do. And don't say you do, because you don't! Now, wouldn't you think that throwing yourself into your work would be the best way to deal with it?",LEONARD,BBT,0,NONE
1_S10E04_007,1_S10E04_007_c_0,There was water everywhere.,AMY,BBT,,
1_S10E04_007,1_S10E04_007_c_1,It was such a mess.,AMY,BBT,,
1_S10E04_007,1_S10E04_007_c_2,That stinks. How long are you out of the apartment?,LEONARD,BBT,,
1_S10E04_007,1_S10E04_007_c_3,About five weeks.,AMY,BBT,,
1_S10E04_007,1_S10E04_007_c_4,Ugh! Did you lose anything valuable?,PENNY,BBT,,
1_S10E04_007,1_S10E04_007_c_5,"Well, the pipe was over my closet, so all my clothes are gone.",AMY,BBT,,
1_S10E04_007,1_S10E04_007_u,"Oh, so nothing. Great.",PENNY,BBT,1,PRO
1_S10E04_021,1_S10E04_021_c_0,"Well, if you need a place to crash, you can stay with us.",-,BBT,,
1_S10E04_021,1_S10E04_021_c_1,Really? Of course.,-,BBT,,
1_S10E04_021,1_S10E04_021_c_2,"You can stay in Leonard's room, and we'll stay at my place.",-,BBT,,
1_S10E04_021,1_S10E04_021_c_3,You're sure that's not an inconvenience?,-,BBT,,
1_S10E04_021,1_S10E04_021_c_4,"No, not at all.",-,BBT,,
1_S10E04_021,1_S10E04_021_u,"And we live with Sheldon, so the word ""inconvenience"" has really lost all meaning.",LEONARD,BBT,0,NONE
1_S10E04_043,1_S10E04_043_c_0,Cohabitation with my girlfriend?,-,BBT,,
1_S10E04_043,1_S10E04_043_c_1,That's a great deal to process. Mm.,-,BBT,,
1_S10E04_043,1_S10E04_043_c_2,It's only for five weeks.,-,BBT,,
1_S10E04_043,1_S10E04_043_c_3,"Yeah, and we'll be right across the hall.",-,BBT,,
1_S10E04_043,1_S10E04_043_c_4,What do you think?,-,BBT,,
1_S10E04_043,1_S10E04_043_u,I don't know. What if living together kills the romance?,SHELDON,BBT,0,NONE
1_S10E04_057,1_S10E04_057_c_0,"Sheldon, I understand your apprehension,",-,BBT,,
1_S10E04_057,1_S10E04_057_c_1,but let me appeal to the scientist in you.,-,BBT,,
1_S10E04_057,1_S10E04_057_c_2,"Given the five-week end date,",-,BBT,,
1_S10E04_057,1_S10E04_057_c_3,isn't it the perfect opportunity to consider this an experiment,-,BBT,,
1_S10E04_057,1_S10E04_057_c_4,and collect data on our compatibility?,-,BBT,,
1_S10E04_057,1_S10E04_057_u,Don't try luring me in with sexy talk.,SHELDON,BBT,0,NONE
1_S10E04_082,1_S10E04_082_c_0,Interesting.,-,BBT,,
1_S10E04_082,1_S10E04_082_c_1,"If my official residence were across the hall,",-,BBT,,
1_S10E04_082,1_S10E04_082_c_2,I wonder if I'd need to knock every time I came over here.,-,BBT,,
1_S10E04_082,1_S10E04_082_u,That's a good question. Maybe just don't come over.,LEONARD,BBT,0,NONE
1_S10E04_105,1_S10E04_105_c_0,"I have to say, I am happy with your ob-gyn.",-,BBT,,
1_S10E04_105,1_S10E04_105_c_1,Cool. 'Cause she says you're doing a great job as,-,BBT,,
1_S10E04_105,1_S10E04_105_c_2,"""weird friend who doesn't have to be at every appointment.""",-,BBT,,
1_S10E04_105,1_S10E04_105_u,I'm the son of a gynecologist. I could be helpful.,RAJ,BBT,0,NONE
1_S10E04_158,1_S10E04_158_c_0,You've been roommates with Sheldon forever.,-,BBT,,
1_S10E04_158,1_S10E04_158_c_1,Do you have any advice?,-,BBT,,
1_S10E04_158,1_S10E04_158_u,I'm trying to think of an answer,LEONARD,BBT,0,NONE
1_S10E04_177,1_S10E04_177_c_0,you and I are gonna be sharing a bed.,-,BBT,,
1_S10E04_177,1_S10E04_177_c_1,"You know, this is uncharted territory for both of us.",-,BBT,,
1_S10E04_177,1_S10E04_177_c_2,How are you feeling about that?,-,BBT,,
1_S10E04_177,1_S10E04_177_u,"Oh, excited, concerned, a little scared. All the same emotions",SHELDON,BBT,0,NONE
1_S10E04_194,1_S10E04_194_c_0,"Look, I know this experiment",-,BBT,,
1_S10E04_194,1_S10E04_194_c_1,is a big step outside of your comfort zone.,-,BBT,,
1_S10E04_194,1_S10E04_194_c_2,So why don't we take being physical off the table,-,BBT,,
1_S10E04_194,1_S10E04_194_c_3,"and maybe later on,",-,BBT,,
1_S10E04_194,1_S10E04_194_c_4,"once we're more settled in, we can revisit it.",-,BBT,,
1_S10E04_194,1_S10E04_194_c_5,You're really okay with that?,-,BBT,,
1_S10E04_194,1_S10E04_194_u,"I've never lived with someone, either. This is a lot for me, too.",AMY,BBT,0,NONE
1_S10E04_238,1_S10E04_238_c_0,Which side of the bed would you prefer?,-,BBT,,
1_S10E04_238,1_S10E04_238_c_1,Doesn't matter to me. Your choice.,-,BBT,,
1_S10E04_238,1_S10E04_238_c_2,"No, no, we're living together now-- everything's equal.",-,BBT,,
1_S10E04_238,1_S10E04_238_c_3,"You know? I know that I have a tendency to be controlling,",-,BBT,,
1_S10E04_238,1_S10E04_238_c_4,so I would rather you choose.,-,BBT,,
1_S10E04_238,1_S10E04_238_u,"Well, Sheldon, I really appreciate that, but these things mean more to you than they do to me, so whatever you want.",AMY,BBT,0,NONE
1_S10E04_262,1_S10E04_262_c_0,"Now, this side offers me proximity to the bathroom,",-,BBT,,
1_S10E04_262,1_S10E04_262_c_1,but I am closer to the window,-,BBT,,
1_S10E04_262,1_S10E04_262_c_2,where perverts can watch me sleep.,-,BBT,,
1_S10E04_262,1_S10E04_262_c_3,Okay.,-,BBT,,
1_S10E04_262,1_S10E04_262_u,What if we do this?,AMY,BBT,0,NONE
1_S10E04_277,1_S10E04_277_c_0,This is ridiculous.,-,BBT,,
1_S10E04_277,1_S10E04_277_c_1,"The doctor knows what the baby is, the ultrasound tech knows,",-,BBT,,
1_S10E04_277,1_S10E04_277_c_2,"Raj knows,",-,BBT,,
1_S10E04_277,1_S10E04_277_c_3,his Grey's Anatomy online fan group probably knows.,-,BBT,,
1_S10E04_277,1_S10E04_277_c_4,Is it weird we don't?,-,BBT,,
1_S10E04_277,1_S10E04_277_c_5,I don't know.,-,BBT,,
1_S10E04_277,1_S10E04_277_c_6,Maybe the surprise will make it more fun.,-,BBT,,
1_S10E04_277,1_S10E04_277_c_7,Like magic tricks.,-,BBT,,
1_S10E04_277,1_S10E04_277_c_8,Remember how disappointed you were,-,BBT,,
1_S10E04_277,1_S10E04_277_c_9,when I explained the never-ending hanky?,-,BBT,,
1_S10E04_277,1_S10E04_277_u,I was disappointed to see the man I was engaged to pulling rainbow scarves out of his fly.,BERNADETTE,BBT,0,NONE
1_S10E04_307,1_S10E04_307_c_0,because I was wondering how you'd feel,-,BBT,,
1_S10E04_307,1_S10E04_307_c_1,about separating the two of us with a pillow wall.,-,BBT,,
1_S10E04_307,1_S10E04_307_c_2,"Sheldon, I've made more than enough accommodations for you.",-,BBT,,
1_S10E04_307,1_S10E04_307_c_3,We're both grown adults--,-,BBT,,
1_S10E04_307,1_S10E04_307_c_4,we've been far more intimate than this.,-,BBT,,
1_S10E04_307,1_S10E04_307_c_5,"If you don't want to snuggle, fine--",-,BBT,,
1_S10E04_307,1_S10E04_307_c_6,but we're not building a pillow wall.,-,BBT,,
1_S10E04_307,1_S10E04_307_u,"Okay, well, I am sorry. I'm just worried that my sensitivity to temperature could make this a rough night.",SHELDON,BBT,0,NONE
1_S10E04_343,1_S10E04_343_c_0,Screw it. I'm calling and finding out.,-,BBT,,
1_S10E04_343,1_S10E04_343_c_1,Good. Call him.,-,BBT,,
1_S10E04_343,1_S10E04_343_c_2,"Wait, I'm not sure I want to know.",-,BBT,,
1_S10E04_343,1_S10E04_343_c_3,But you just said you wanted to know.,-,BBT,,
1_S10E04_343,1_S10E04_343_u,"Well, now I don't know if I want to know!",BERNADETTE,BBT,0,NONE
1_S10E04_361,1_S10E04_361_c_0,"Okay, you're positive you want to know?",-,BBT,,
1_S10E04_361,1_S10E04_361_c_1,Yes. Okay. Here we go.,-,BBT,,
1_S10E04_361,1_S10E04_361_c_2,It's ringing.,-,BBT,,
1_S10E04_361,1_S10E04_361_c_3,(ringtone playing),-,BBT,,
1_S10E04_361,1_S10E04_361_c_4,Hello?,-,BBT,,
1_S10E04_361,1_S10E04_361_u,Wait. Wrong number.,BERNADETTE,BBT,0,NONE
1_S10E04_398,1_S10E04_398_c_0,"So, how is everyone?",-,BBT,,
1_S10E04_398,1_S10E04_398_c_1,Miserable and exhausted.,-,BBT,,
1_S10E04_398,1_S10E04_398_c_2,Really? I slept great.,-,BBT,,
